city id,city,country,lat,lon,temp_astronomical_twilight_end,hum_astronomical_twilight_end,cloudiness_astronomical_twilight_end,windiness_astronomical_twilight_end
3150002,Kjøpsvik,NO,68.097,16.3742,17.6,86,75,19.57
7839709,Central Darling,AU,-31.7715,143.6257,89.11,27,54,8.97
300808,Silifke,TR,36.3778,33.9344,48.61,49,93,6.49
3173935,Marina di Carrara,IT,44.0384,10.0414,51.75,93,0,5.75
2508807,Adrar,DZ,25.75,-1.0,79.9,15,100,11.05
608359,Shalqar,KZ,47.8333,59.6,14.83,96,100,10.74
319345,Çatak,TR,38.0085,43.065,21.2,79,75,3.44
3369174,Calvinia,ZA,-31.4707,19.776,60.19,33,0,4.18
542965,Krasnokholmskiy,RU,55.9873,55.0466,-10.8,90,97,6.44
7603255,Barh el Gazel Region,TD,14.6667,16.9167,72.45,18,4,12.3
598392,Karmelava,LT,54.9667,24.0667,35.6,80,100,5.75
5864145,Homer,US,59.6425,-151.5483,22.68,68,90,3.06
1512205,Abaza,RU,52.655,90.0928,9.03,91,22,1.3
5466318,Eddy,US,32.8757,-104.7511,48.31,23,1,9.22
2026023,Bukachacha,RU,52.9833,116.9167,-8.01,85,55,5.86
53707,Mudug,SO,7.0,48.0,75.4,64,60,20.42
2123371,Mayskiy,RU,48.9975,140.2053,9.03,90,0,5.48
2180815,Tuatapere,NZ,-46.1333,167.6833,61.0,80,0,3.0
3520989,Puerto Madero,MX,14.7208,-92.4215,78.8,89,75,4.43
2220082,Al Fuqaha',LY,27.8337,16.3849,61.81,25,84,10.22
2434985,Bokoro,TD,12.3807,17.0568,79.03,16,2,11.54
6093114,Old Crow,CA,67.5712,-139.8342,-31.92,82,7,0.69
2031799,East Aimak,MN,48.0,115.0,1.24,90,7,10.18
1262574,Mūl,IN,20.0667,79.6667,77.63,24,11,4.29
2056029,Entuziastov,RU,70.8644,134.6397,-34.08,81,0,1.95
1040652,Maputo,MZ,-25.9653,32.5892,82.2,78,75,12.66
168887,Judaydat Khābūr,SY,35.8167,39.4667,47.43,50,0,3.71
7839408,Roper Gulf,AU,-15.3056,134.9736,82.44,77,84,11.97
6140815,Sandy Lake,CA,56.9835,-107.2846,33.91,97,100,8.48
159242,Ikwiriri,TZ,-7.9562,38.9716,76.39,94,98,4.12
4031110,Fale old settlement,TK,-9.3852,-171.2468,82.54,78,100,17.36
122289,Neyrīz,IR,29.1988,54.3278,53.6,76,75,6.91
