city id,city,country,lat,lon,temp_sunset,hum_sunset,cloudiness_sunset,windiness_sunset
2259947,Gamboma,CG,-1.8764,15.8644,85.33,50,94,3.62
110831,Āzādshahr,IR,37.087,55.174,48.2,76,90,4.61
1492810,Seliyarovo,RU,61.2906,70.3425,-10.21,89,100,4.47
5861836,Eureka Roadhouse,US,61.9386,-147.1681,-5.28,90,63,0.72
3422891,Ittoqqortoormiit,GL,70.4846,-21.9622,25.45,96,98,13.29
2344415,Duku,NG,11.2361,4.9073,84.25,13,23,7.11
2080422,Jabor,MH,5.921,169.6434,81.97,75,100,22.1
1629652,Riau,ID,0.5005,101.749,84.2,65,20,2.59
355005,Al Jubayl,EG,28.1984,33.6314,62.13,55,0,26.46
1267772,Karhal,IN,27.0003,78.9414,70.86,23,0,3.11
5653884,Gateway (historical),US,48.9991,-115.1732,37.54,79,100,6.15
1337606,Eydhafushi,MV,5.1033,73.0708,82.8,70,100,9.89
88319,Benghazi,LY,32.1167,20.0667,59.11,64,0,18.03
5543199,Millard,US,39.1255,-113.1252,37.15,32,1,6.91
1214488,Meulaboh,ID,4.1363,96.1285,81.48,76,77,1.16
3630473,Pedregal,VE,11.0204,-70.1206,79.9,57,44,16.64
117656,Salmās,IR,38.1973,44.7653,30.2,86,75,6.91
1789053,Xingao,CN,39.0261,112.9616,55.53,35,0,6.87
2270408,Calheta,PT,32.7167,-17.1833,56.21,72,40,3.44
2250677,Kayar,SN,14.9192,-17.1211,71.6,46,0,19.57
779350,Karasjok,NO,69.4719,25.5112,5.0,66,40,33.38
288602,Camp,OM,20.6667,58.8833,75.2,73,0,8.1
2476403,Timimoun,DZ,29.2639,0.231,82.4,14,99,17.27
2023584,Imeni Poliny Osipenko,RU,52.4201,136.4853,7.14,93,100,3.42
1219899,Amansha,TM,37.6333,61.9,51.8,35,0,6.91
2038665,Alihe,CN,50.5667,123.7167,9.75,94,100,1.59
1279982,Sima,CN,31.9833,91.0833,28.76,58,99,11.43
192950,Kenya,KE,1.0,38.0,84.45,46,36,10.47
3855715,Eugenio Bustos,AR,-33.7773,-69.0704,81.19,28,0,10.8
1505991,Igarka,RU,67.4667,86.5833,-36.09,81,74,5.97
1813419,Datuo,CN,28.05,112.95,73.4,53,0,6.71
5877395,Valdez-Cordova Census Area,US,61.5006,-144.5006,5.58,94,100,3.36
2280761,Tiassalé,CI,5.8983,-4.8283,82.02,53,12,3.13
3938526,Ica,PE,-14.3325,-75.4997,73.89,50,37,10.58
1114929,Bukhara,UZ,40.0,64.0,46.4,66,40,4.61
2027316,Ayan,RU,56.45,138.1667,0.93,84,95,7.02
2122894,Nevel'sk,RU,46.6733,141.8633,23.0,63,20,11.18
527299,Mezhdurechensk,RU,63.2456,48.5533,-23.31,85,41,5.01
286245,Sur,OM,22.5667,59.5289,73.6,62,0,4.29
933366,Maun,BW,-19.9833,23.4167,75.2,100,20,4.61
1623197,Tual,ID,-5.6667,132.75,83.05,80,11,19.73
2356982,Province de l’Oudalan,BF,14.6667,-0.3333,81.32,13,0,10.04
691497,Tlumach,UA,48.864,25.0033,37.2,70,0,1.88
2729907,Longyearbyen,SJ,78.2186,15.6401,24.8,68,40,19.57
1794831,Shizikou,CN,29.9872,112.013,72.0,57,94,5.59
1498087,Nadym,RU,65.5333,72.5167,-28.21,84,90,8.9
8054118,Mositai,CN,45.5363,119.6697,12.85,92,80,17.87
319487,Çandarlı,TR,38.935,26.934,50.0,58,0,3.44
2490138,Marhoum,DZ,34.4468,-0.1947,48.87,64,99,18.77
3141682,Rjukan,NO,59.8789,8.5941,36.68,1,100,7.0
1490918,Staryy Nadym,RU,65.6118,72.6842,-28.48,84,82,8.72
1529595,Beishanyanchi,CN,44.7667,91.2333,32.49,86,26,2.3
5947462,Eldorado,CA,59.5505,-108.5016,17.6,79,100,5.1
3858677,El Calafate,AR,-50.3408,-72.2768,51.64,64,87,11.5
2012530,Zhigansk,RU,66.7697,123.3711,-27.04,84,100,4.61
576093,Blagoyevo,RU,63.3667,47.9167,-22.52,85,37,5.32
3122806,Establés,ES,41.0077,-2.0244,49.44,100,90,18.41
3874982,Puerto Cisnes,CL,-44.75,-72.7,50.45,81,88,5.61
2258534,Lekoumou Department,CG,-3.0,13.5,75.16,92,100,3.62
5969475,Hall Beach,CA,68.7913,-81.236,-9.4,84,40,10.36
1861661,Imazu,JP,36.1667,133.3167,58.95,72,0,23.62
8018194,Putrajawa,ID,-7.0054,108.0109,73.62,89,99,1.74
2147554,Tallimba,AU,-34.0,146.8833,82.35,43,25,15.5
4968996,Knox,US,43.8501,-69.3328,31.23,37,1,3.44
4881551,West Union,US,42.9628,-91.8082,25.45,100,40,5.75
7582820,Linha Floresta,BR,-25.1131,-53.8626,77.0,69,40,9.22
5984875,Ivujivik,CA,62.4174,-77.9159,13.08,95,99,21.54
5848652,Kaunakakai,US,21.0933,-157.0239,73.81,60,1,6.91
380173,Ed Damer,SD,17.5928,33.9592,74.16,19,0,10.56
1279812,Wangda,CN,29.6833,97.9,30.15,53,0,6.85
5131073,Phelps,US,42.9576,-77.0575,27.36,54,1,4.61
3792383,Agustin Codazzi,CO,10.0341,-73.2361,84.25,47,41,5.17
5577158,Fort Morgan,US,40.2503,-103.8,35.02,44,1,3.44
1785694,Yunnan Province,CN,25.0,102.0,60.62,54,54,7.81
2334018,Konkwesso,NG,10.8469,4.0984,84.06,13,34,5.95
3422887,Ittorisseq,GL,70.45,-22.45,27.27,96,100,18.84
3395042,Mazagão,BR,-0.115,-51.2894,78.8,94,75,4.61
203717,Yangambi,CD,0.8102,24.4336,80.98,52,76,2.01
2082282,State of Chuuk,FM,7.454,151.805,84.2,70,90,9.22
1267939,Kapadvanj,IN,23.0167,73.0667,86.0,23,0,3.44
3418910,Upernavik,GL,72.7868,-56.1549,-19.77,88,100,14.32
2029558,Ovoot,MN,45.3042,113.8498,10.22,93,82,10.67
5836068,Rawlins,US,41.7911,-107.2387,23.0,68,90,29.93
2210554,Sirte,LY,31.2089,16.5887,60.84,60,53,14.07
5866302,Kinegnak (historical),US,58.65,-162.2,-0.09,85,75,19.57
2307145,Nsok,GQ,1.1299,11.266,72.48,90,96,4.59
2309528,Luba,GQ,3.4568,8.5547,82.4,74,20,9.22
5359595,Inverness,US,38.101,-122.8569,54.55,58,1,8.16
5846871,Gustavus,US,58.4133,-135.7369,36.88,75,40,10.36
226853,Paidha,UG,2.4167,30.9855,77.09,33,97,2.8
3671348,Puerto Rico,CO,1.9142,-75.145,80.89,64,94,3.89
5840786,Teton,US,43.9166,-110.5841,23.92,74,90,13.8
481548,Troitsko-Pechorsk,RU,62.7084,56.1964,-27.45,84,100,6.71
1489853,Tazovsky,RU,67.4667,78.7,-36.06,82,34,3.53
7602866,Borkou Region,TD,18.25,18.5,72.36,19,75,10.38
352603,Matruh Governorate,EG,29.7,27.5,64.42,30,0,3.96
2076017,Borroloola,AU,-16.0667,136.2833,85.39,68,63,12.93
3363441,Ocean View,ZA,-34.1486,18.3536,65.68,52,0,20.71
780524,Burfjord,NO,69.938,22.0521,11.59,61,75,18.41
2022572,Khatanga,RU,71.9667,102.5,-19.84,87,98,9.69
2074865,Carnarvon,AU,-24.8667,113.6333,82.4,89,53,5.75
114593,Susa,IR,32.1942,48.2436,61.02,38,0,9.01
2906649,Helse,DE,53.9833,9.0,56.44,55,20,3.44
2809944,Wetterzeube,DE,51.0,12.0167,51.78,51,0,2.3
3556334,Jatibonico,CU,21.9419,-79.17,76.93,66,24,15.59
7905767,Nāḩiyat as Sab‘ Biyār,SY,33.5323,38.0082,48.78,52,76,9.93
6149013,Skookumchuck,CA,49.9166,-115.7354,38.05,60,75,23.02
2013727,Vanavara,RU,60.34,102.2797,-9.85,89,100,3.31
1270543,Hāflong,IN,25.1833,93.0333,69.37,44,0,1.63
8030386,Safende,CV,15.369,-25.8398,71.08,78,0,20.67
606714,Backa,SE,64.9833,21.0667,12.6,85,90,8.05
1490256,Talnakh,RU,69.4865,88.3972,-27.78,83,94,3.58
5955840,Fort Good Hope,CA,66.257,-128.6374,-25.8,85,0,2.39
1728675,Balabac,PH,7.9868,117.0645,79.07,75,69,13.96
1966827,Kali,ID,1.1627,121.4278,79.72,79,68,10.42
4174280,Summerfield,US,29.0086,-82.0348,65.97,49,40,8.05
3661980,Tarauaca,BR,-8.1614,-70.7656,73.04,96,99,2.33
7521903,Banana Village,KI,1.9833,-157.3653,77.0,94,90,8.05
2381659,Aleg,MR,17.0481,-13.9209,86.05,10,0,10.47
5880054,Barrow,US,71.2906,-156.7887,-5.8,77,90,13.8
6354929,Tom Price,AU,-22.6939,117.7931,93.2,36,40,5.75
1275920,Bhīnmāl,IN,25.0,72.25,79.36,16,0,7.61
1524296,Esil,KZ,51.9556,66.4042,-13.5,89,23,5.93
6949250,La Grande-4,CA,53.756,-73.6798,17.6,62,1,13.8
1622167,Wamena,ID,-3.9167,138.7333,56.98,100,100,1.7
2231565,Fontain,CM,5.7333,10.9167,81.86,28,100,2.59
4274450,Lincoln,US,39.0408,-98.1448,43.52,36,1,18.41
6065460,Manson Creek,CA,55.6665,-124.4865,29.88,92,12,10.83
5945789,East LaHave,CA,44.3168,-64.3654,27.46,59,52,14.97
780686,Berlevåg,NO,70.8581,29.0853,4.95,72,0,25.32
3025149,Chilly,FR,45.9933,5.9534,50.49,57,0,2.3
4034749,Wallis et Futuna,WF,-13.3,-176.2,81.97,81,100,29.15
2178253,Adventure Bay,AU,-43.3667,147.3333,63.03,67,90,12.66
6049953,La Reine,CA,48.8669,-79.4997,24.85,95,97,11.61
6151989,Southend Reindeer,CA,56.3169,-103.2341,28.4,100,97,3.44
2123278,Mil'kovo,RU,54.7167,158.6167,16.92,96,99,5.12
1279715,Xigaze,CN,29.25,88.8833,35.64,58,13,3.8
2121373,Seymchan,RU,62.8833,152.4333,-25.13,81,100,0.56
1279860,Darya Boyi,CN,38.3833,82.0,52.79,33,67,8.05
5992044,Kimball,CA,49.0833,-113.2019,41.0,56,75,29.93
3133145,Utsira,NO,59.3057,4.8862,44.24,87,75,13.8
2377457,Nouadhibou,MR,20.931,-17.0347,68.0,77,0,21.85
2705718,Högsby,SE,57.166,16.0256,38.43,100,0,8.05
5974227,Heron Bay,CA,48.6668,-86.2832,32.0,80,100,9.22
7626930,Sokehs Municipality,FM,6.9327,158.1427,82.4,74,75,5.75
1790534,Changning,CN,35.9798,110.8221,54.34,37,0,7.25
2101169,Aitape,PG,-3.1374,142.3475,82.17,76,42,4.74
2030251,Ihbulag,MN,43.2,107.2,34.05,82,2,17.87
101627,Tabuk,SA,27.5,37.3333,56.89,32,0,9.04
2071379,Forrest,AU,-30.85,128.1,71.6,46,0,18.41
1695546,Pandan,PH,14.0453,124.1694,77.97,90,100,21.88
8079140,Tambakrejo,ID,-8.3111,112.1429,80.19,77,17,4.29
6547288,Jerada,MA,34.2366,-2.0428,51.8,71,75,13.8
3383337,Distrikt Para,SR,5.4167,-55.3333,82.27,74,94,9.22
99350,Al Ḩayy,IQ,32.1735,46.0433,62.47,31,0,13.78
4975418,Piscataquis,US,45.8,-69.2995,25.25,46,98,11.5
6113467,Prince William,CA,45.9168,-67.0489,29.1,31,1,8.05
2122605,Okhotsk,RU,59.3833,143.3,9.32,89,100,8.05
5955950,Fort Severn,CA,55.9835,-87.6332,28.4,74,20,10.36
2098322,Dasi,PG,-2.7,141.3,80.44,81,23,3.53
3838854,Río Grande,AR,-53.7877,-67.7095,42.8,93,90,10.36
3670745,Riohacha,CO,11.5444,-72.9072,79.74,66,18,17.11
1500933,Labytnangi,RU,66.6572,66.4183,-31.27,82,94,5.03
1100188,Damião,MZ,-22.0228,35.3153,84.11,79,40,5.75
6202181,Milford Sound,NZ,-44.6684,167.92,57.07,69,0,2.71
5948965,Ennadai,CA,61.1338,-100.8842,3.2,85,96,8.05
2016733,Shestakovo,RU,56.4915,103.96,-6.5,87,100,4.83
5790164,Clallam,US,48.0498,-123.8346,48.4,76,20,3.44
111821,Yazd,IR,32.5,55.5833,55.06,33,8,11.77
609919,Quryq,KZ,43.2,51.65,38.95,72,70,7.45
