city id,city,country,lat,lon,temp_sunrise,hum_sunrise,cloudiness_sunrise,windiness_sunrise
3924826,Rondônia,BR,-10.8667,-61.95,70.3,98,100,3.0
503254,Radishchevo,RU,52.85,47.8833,-15.0,89,10,2.46
382250,Sabun,SS,4.5361,29.2578,65.12,35,58,2.21
3446232,Tramandaí,BR,-29.9847,-50.1336,70.23,81,0,6.62
1507636,Chunskiy,RU,56.0815,99.6342,-12.53,89,96,4.36
1129678,Qarah Bāgh,AF,34.9402,61.7759,37.2,79,95,9.33
2380519,Chingueṭṭi,MR,20.4404,-12.2622,61.88,26,0,9.4
1254133,Tuensang,IN,26.2833,94.8333,54.09,67,0,2.15
506528,Popov,RU,48.1818,42.8533,23.86,88,98,8.23
7839404,Katherine,AU,-14.6501,132.1741,77.0,100,75,6.91
370247,Medingbor,SS,6.4598,29.3997,66.36,26,100,4.7
2126682,Bilibino,RU,68.0546,166.4372,-25.26,63,0,0.96
98862,An Najaf,IQ,31.25,43.8333,48.74,56,0,8.66
6161366,Taloyoak,CA,69.5372,-93.5211,-31.0,75,20,10.36
2027748,Amur Oblast,RU,54.0,128.0,-18.45,83,0,1.12
1182998,Bela,PK,26.2271,66.3111,65.95,27,87,0.94
2524459,Lampedusa,IT,35.5,12.6,59.0,100,75,13.8
1529195,Shihezi,CN,44.3,86.0333,28.53,98,100,3.24
1270351,Haridwar,IN,29.9667,78.1667,51.8,93,0,2.13
2199295,Northern,FJ,-16.5,179.5,72.34,98,66,3.69
2259947,Gamboma,CG,-1.8764,15.8644,72.66,81,100,3.04
110831,Āzādshahr,IR,37.087,55.174,44.6,87,75,2.68
1492810,Seliyarovo,RU,61.2906,70.3425,-17.39,87,98,4.25
5861836,Eureka Roadhouse,US,61.9386,-147.1681,-0.26,87,99,1.34
3422891,Ittoqqortoormiit,GL,70.4846,-21.9622,26.08,95,100,12.44
2344415,Duku,NG,11.2361,4.9073,65.8,24,0,6.67
2080422,Jabor,MH,5.921,169.6434,80.6,80,82,19.73
1629652,Riau,ID,0.5005,101.749,75.2,88,75,1.97
355005,Al Jubayl,EG,28.1984,33.6314,51.8,50,0,10.36
1267772,Karhal,IN,27.0003,78.9414,57.4,38,0,5.53
5653884,Gateway (historical),US,48.9991,-115.1732,24.3,93,100,6.04
1337606,Eydhafushi,MV,5.1033,73.0708,82.02,69,100,8.39
88319,Benghazi,LY,32.1167,20.0667,55.71,64,0,4.99
