city id,city,country,lat,lon,temp_civil_twilight_begin,hum_civil_twilight_begin,cloudiness_civil_twilight_begin,windiness_civil_twilight_begin
1517529,Uzynkair,KZ,45.7167,60.9,26.26,88,44,5.21
3388145,São Raimundo Nonato,BR,-9.0153,-42.6994,69.17,92,93,0.25
2028051,Akana,RU,63.9,119.0167,-28.41,85,92,2.39
4770766,Louisa,US,38.0251,-78.0042,16.16,92,1,2.71
1540475,Turtas,RU,58.9417,69.1325,-11.54,90,100,2.35
3114980,Urduña / Orduña,ES,42.9944,-3.0097,51.64,71,0,8.05
5274473,Stanley,US,44.96,-90.9371,14.94,73,40,3.44
5877087,Uganik,US,57.7667,-153.4,21.2,79,1,6.91
2158977,Mallacoota,AU,-37.55,149.75,69.01,88,82,1.01
3526756,Isla Mujeres,MX,21.2311,-86.731,71.15,73,40,6.91
1792999,Tiandeng,CN,23.1266,107.0937,57.61,79,0,4.45
3462710,Galheiro,BR,-18.9667,-51.95,66.65,73,0,1.9
2066859,Marvel Loch,AU,-31.4667,119.4667,64.45,58,0,10.42
3423146,Ilulissat,GL,69.2167,-51.1,3.2,72,90,10.36
1799897,Nanma,CN,36.1817,118.1583,48.0,52,0,10.02
1860941,Jūrokuban,JP,30.6,130.9833,59.47,68,0,10.83
6691320,Nord-du-Québec,CA,51.962,-74.8961,-6.36,92,0,4.88
3141548,Rognan,NO,67.0953,15.3878,24.8,68,75,39.12
5887448,Arviat,CA,61.1088,-94.0585,3.2,78,90,14.97
1529626,Baijiantan,CN,45.6333,85.1833,22.8,93,85,6.26
6137052,Sachs Harbour,CA,71.9841,-125.2463,-18.4,76,90,17.27
153214,Morogoro,TZ,-8.0,37.0,70.52,82,100,0.6
1614696,Pak Chom,TH,18.0206,101.8983,63.57,100,8,3.44
2183619,Raumati South,NZ,-40.95,174.9833,59.77,82,40,23.02
5873776,Seward,US,60.1042,-149.4422,13.17,62,1,11.05
2220853,Yokadouma,CM,3.5167,15.05,64.13,48,64,1.32
3980487,Venado,MX,22.9333,-101.0833,45.5,53,0,1.97
2597172,Tiapoum,CI,5.1362,-3.0231,77.86,87,12,3.06
